Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,253,-99.4,90,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,222.9,-99.5,90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,189.8,-99.5,90,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.7,-99.5,90,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.7,-99.5,90,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.5,-99.6,90,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,76.4,-99.4,90,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.4,-99.3,90,top
D1,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,247.8,-99.4,-90,top
D2,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,217.7,-99.5,-90,top
D3,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,184.6,-99.5,-90,top
D4,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,154.5,-99.5,-90,top
D5,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,124.4,-99.5,-90,top
D6,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,94.3,-99.5,-90,top
D7,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,71.2,-99.4,-90,top
D8,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,41,-99.5,-90,top
R1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,234.8,-99.4,90,top
R2,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.2,-95.8,0,top
U1,1503a,TSOT-23_HandSoldering,240.4,-99.4,90,top
U2,1503a,TSOT-23_HandSoldering,58.1,-101.3,90,top
